[2023-12-12T22:52:24.124] [INFO] access - path:/user/test | method:POST | ua:PostmanRuntime/7.35.0|
[2023-12-12T22:52:41.380] [INFO] access - path:/user/test | method:POST | ua:PostmanRuntime/7.35.0|
[2023-12-12T22:59:13.837] [INFO] access - path:/user/test | method:POST | ua:PostmanRuntime/7.35.0|
[2023-12-12T23:02:19.393] [INFO] access - path:/favicon.ico | method:GET | ua:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36|
[2023-12-12T23:10:16.459] [INFO] access - path:/user/test | method:POST | ua:PostmanRuntime/7.35.0|
[2023-12-12T23:10:18.818] [INFO] access - path:/user/test | method:POST | ua:PostmanRuntime/7.35.0|
[2023-12-12T23:11:03.633] [INFO] access - path:/user/test | method:POST | ua:PostmanRuntime/7.35.0|
[2023-12-12T23:11:09.137] [INFO] access - path:/user/test | method:POST | ua:PostmanRuntime/7.35.0|
[2023-12-12T23:11:12.539] [INFO] access - path:/user/login | method:POST | ua:PostmanRuntime/7.35.0|
[2023-12-12T23:11:23.346] [INFO] access - path:/user/test | method:POST | ua:PostmanRuntime/7.35.0|
